                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.2598,                0.88496,                 1.2263,                0.95051,                0.96296,                0.97833,                 0.6042,                 1.5692,                0.81569,                 1.2735,              0.0005446,              0.0005446,              0.0005446
                     72,                 1.2238,                0.94128,                 1.2415,                0.95282,                0.95598,                0.96607,                0.57839,                  1.566,                0.79794,                 1.2754,               0.000538,               0.000538,               0.000538
                     73,                 1.2455,                0.84873,                 1.1928,                0.92312,                0.98148,                  0.965,                0.57701,                 1.5577,                0.78262,                 1.2646,              0.0005314,              0.0005314,              0.0005314
                     74,                 1.2405,                 0.9075,                 1.2125,                0.92468,                0.95723,                0.95923,                0.58639,                 1.5134,                0.77766,                 1.2432,              0.0005248,              0.0005248,              0.0005248
                     75,                 1.2647,                0.90961,                 1.2253,                0.93508,                0.96296,                0.96684,                0.61019,                 1.4287,                0.79601,                 1.1961,              0.0005182,              0.0005182,              0.0005182
                     76,                 1.2431,                0.89246,                 1.2568,                0.93396,                0.96296,                0.96885,                0.61289,                 1.4172,                0.81706,                 1.1881,              0.0005116,              0.0005116,              0.0005116
                     77,                  1.186,                 0.8377,                  1.188,                0.93648,                0.96296,                0.97088,                0.62881,                 1.4051,                0.82943,                 1.1825,               0.000505,               0.000505,               0.000505
                     78,                 1.2548,                0.91323,                 1.2681,                0.94362,                0.96296,                0.97124,                0.64003,                  1.402,                 0.8373,                 1.1863,              0.0004984,              0.0004984,              0.0004984
                     79,                 1.2676,                0.91242,                 1.2581,                0.93809,                0.94444,                0.96809,                0.63561,                 1.4532,                 0.8416,                 1.2102,              0.0004918,              0.0004918,              0.0004918
                     80,                 1.1966,                0.84107,                  1.168,                0.94682,                0.94444,                0.96708,                0.62916,                 1.4925,                0.83808,                 1.2268,              0.0004852,              0.0004852,              0.0004852
                     81,                 1.2274,                0.86866,                 1.1727,                0.94122,                0.96296,                0.97091,                0.62466,                 1.5058,                0.82461,                 1.2392,              0.0004786,              0.0004786,              0.0004786
                     82,                 1.2557,                0.90991,                 1.2172,                0.94448,                0.96296,                0.97159,                0.62798,                 1.4953,                0.79869,                 1.2399,               0.000472,               0.000472,               0.000472
                     83,                 1.2475,                0.89732,                 1.2259,                0.95228,                0.96296,                0.97052,                0.63473,                 1.4822,                0.78689,                 1.2341,              0.0004654,              0.0004654,              0.0004654
                     84,                 1.1697,                0.89408,                 1.1915,                0.94749,                0.96296,                0.97096,                0.63005,                 1.4856,                0.76675,                 1.2368,              0.0004588,              0.0004588,              0.0004588
